Rating,Name,Symbol,Rating Agency Name,Date,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,cashPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover,Month,Year
BBB,S&P Global Inc.,SPGI,Fitch Ratings,2016-09-19,Finance,1.405974722,1.348908464,0.91612409,72.34234234,0.372019078,0.563151387,0.68751104,0.595124536,0.242934595,0.526246286,3.24,0.653016496,20.88929889,12.33692308,0.925020187,0.301129235,0.921448087,5.133181126,9.132420091,13.33692308,0.563151387,9.259418592,5.570776256,0.258611553,9.666666667,9,2016
BBB,Ball Corporation,BLL,Egan-Jones Ratings Company,2015-05-29,Consumer Durables,1.152830377,0.495216265,0.095375723,33.77421237,0.054842474,0.058109685,0.167292882,0.097852975,0.062078986,0.089500737,0.454941438,1.131950865,3.525733328,6.328429,0.863545106,0.301004016,0.614024691,4.488549398,1.449735755,7.328429,0.058109685,6.619694828,7.310047073,0.118144691,5.151865672,5,2015
BB,Ball Corporation,BLL,Standard & Poor's Ratings Services,2015-11-30,Consumer Durables,1.019798282,0.466146806,0.104594696,34.4095911,0.035125672,0.043203701,0.161935726,0.075678379,0.028730694,0.045249758,0.224486534,0.817940063,2.977400499,6.813473987,0.872015956,0.136034732,0.47561339,3.487254188,1.7800437,7.813473987,0.043203701,10.94966431,7.332119446,0.125884707,4.304570896,11,2015
BBB,Ball Corporation,BLL,Standard & Poor's Ratings Services,2016-07-05,Consumer Durables,1.2303806,0.604580667,0.201077804,46.64716919,0.029025494,0.013795387,0.156715594,0.051098113,0.016261671,0.009466828,0.076564774,0.560254746,2.065420561,3.708296943,0.787608978,-1.008,-2.12371134,-2.603130074,4.024742372,4.708296943,0.013795387,14.17825659,1.225745715,0.02141044,3.588785047,7,2016
BBB,Owens Corning Inc,OC,Standard & Poor's Ratings Services,2016-08-03,Capital Goods,1.646936656,0.116303219,0.116303219,0.0,0.069226704,0.103928131,0.243262286,0.123128413,0.050768635,0.087046326,0.102104443,0.733367782,1.824228792,1.011171733,0.502777419,0.318644068,0.56097561,4.624125874,0.979020979,2.011171733,0.103928131,7.98440691,8.243006993,0.16610886,4.475,8,2016
BBB,Owens Corning Inc,OC,Egan-Jones Ratings Company,2015-10-30,Capital Goods,1.376902417,0.085944494,0.085944494,0.0,0.061682243,0.084672897,0.215514019,0.084672897,0.044715447,0.072329555,0.088258893,0.724932249,1.809878214,0.973789783,0.493360434,0.264900662,0.446091644,2.824232082,0.819112628,1.973789783,0.084672897,9.53847012,6.33105802,0.138691589,4.42721519,10,2015
BBB,Devon Energy Corporation,DVN,Standard & Poor's Ratings Services,2016-03-18,Energy,1.22185129,1.049468892,0.701062215,30.68276911,-1.09958159,-1.617953595,1.0,-1.576797261,-0.489435189,-0.810610969,-2.050503618,0.445110389,0.689374869,3.18953043,0.761309766,0.285170209,0.013932751,0.184275184,5.781326781,4.18953043,-1.617953595,-1.259137402,13.22604423,0.409509319,0.0,3,2016
A,BorgWarner Inc.,BWA,Egan-Jones Ratings Company,2015-11-06,Capital Goods,1.330080611,0.439966059,0.244802715,0.0,0.080518509,0.115418173,0.212264739,0.117038514,0.073068657,0.142813078,0.181818182,0.90747653,3.277369281,2.48831973,1.0,0.30237581,1.0,3.863395332,4.620923828,2.48831973,0.115418173,6.812386847,3.863395332,0.108064315,3.386923901,11,2015
A,Eli Lilly and Company,LLY,Fitch Ratings,2015-05-26,Health Care,1.086754406,0.719304037,0.345447245,60.18826852,0.121867289,0.152954791,0.748541977,0.152954791,0.064298433,0.115526343,0.155497879,0.527610266,2.463064579,1.418377436,0.586499615,0.203246342,0.929403952,3.793512111,4.511501666,2.418377436,0.152954791,18.5463211,4.081661264,0.222634026,4.372396064,5,2015
A,Eli Lilly and Company,LLY,Egan-Jones Ratings Company,2015-10-28,Health Care,1.527850685,0.967823467,0.445513755,64.24491575,0.120669182,0.139788664,0.747618833,0.139788664,0.067710837,0.102050894,0.165283811,0.561127839,2.478264109,1.44102448,0.59033594,0.136774194,1.0,2.611136694,4.192245504,2.44102448,0.139788664,20.93781405,2.611136694,0.138926884,3.764160813,10,2015
BBB,Vulcan Materials Company,VMC,Egan-Jones Ratings Company,2015-09-18,Basic Industries,3.068332206,2.042285397,0.803612096,42.37349077,0.064630421,0.095803524,0.250580843,0.160651351,0.026642593,0.041249458,0.049655964,0.412229909,1.084241625,0.863781232,0.463456342,0.289586619,0.425358279,1.607356805,2.436889122,1.863781232,0.095803524,16.3054932,3.778830418,0.147092746,14.5943356,9,2015
A,"Baidu, Inc.",BIDU,Moody's Investors Service,2015-06-22,Technology,3.248051613,3.025789532,0.683382807,27.26729202,0.249598428,0.2950839,0.61499388,0.2950839,0.122849668,0.182320505,0.237617323,0.492189269,5.634723638,0.876377699,0.453092846,0.0,1.0,82.45138833,265.093733,1.934212174,0.2950839,3.305843151,82.45138833,0.365674488,1.456659817,6,2015
A,Bristol-Myers Squibb Company,BMY,Egan-Jones Ratings Company,2015-11-11,Health Care,1.299114382,0.900336784,0.297492828,64.97705314,0.094504831,0.125422705,0.763949275,0.125422705,0.049294444,0.08752265,0.109701388,0.52160766,3.753399819,1.225431095,0.55064886,0.214732788,0.552401747,0.607078584,2.561487702,2.225431095,0.125422705,40.00174944,1.098980204,0.110628019,2.497763578,11,2015
BBB,"General Mills, Inc.",GIS,Standard & Poor's Ratings Services,2016-09-19,Consumer Non-Durables,0.785131713,0.464294973,0.152292261,30.64015794,0.102480816,0.117212358,0.351957061,0.163459739,0.078176886,0.116268206,0.344286236,0.762844102,4.424377604,3.403938988,0.772930551,0.388997631,0.722678531,3.173317749,1.566037736,4.403938988,0.117212358,14.10980667,4.391050259,0.158774626,5.244857073,9,2016
BBB,"General Mills, Inc.",GIS,Standard & Poor's Ratings Services,2015-09-22,Consumer Non-Durables,0.774155948,0.359317805,0.068342161,29.23262792,0.069272786,0.075926104,0.337441791,0.117825562,0.05560336,0.07839807,0.244421318,0.802672494,4.660032247,3.395801229,0.772510187,0.438368445,0.719836401,3.033979778,0.572020554,4.395801229,0.075926104,15.71495198,4.214818498,0.144228969,6.93652019,9,2015
BBB,Johnson Controls International plc,JCI,Moody's Investors Service,2016-11-28,Consumer Services,1.050082858,0.669612717,0.041981219,77.68142486,-0.023039762,0.042097999,0.194139194,0.042097999,-0.013722669,0.033773424,-0.035989717,0.595608113,4.785823171,1.622646986,0.618705832,1.4110971,0.340897098,0.967935271,4.333233443,2.622646986,0.042097999,17.23332966,2.839376686,0.050299942,4.488468362,11,2016
AA,Johnson Controls International plc,JCI,Egan-Jones Ratings Company,2015-08-24,Consumer Services,1.210143043,0.890507152,0.364369311,65.42870127,0.055645324,0.072207635,0.588769945,0.089274894,0.044720396,0.104294479,0.136352388,0.803668533,8.328006728,2.048997773,0.672023375,0.13986014,0.546125461,0.703087886,3.916864608,3.048997773,0.089274894,14.47226754,1.287410926,0.054736417,5.187261146,8,2015
BBB,Corning Incorporated,GLW,Moody's Investors Service,2015-10-28,Basic Industries,2.938521677,2.122245913,1.599147122,54.96432883,0.146965207,0.046756668,0.400943914,0.14509933,0.046905104,0.016554619,0.071268895,0.31915788,0.720351044,0.519427294,0.341857288,0.345070423,0.622997508,1.435602953,3.773584906,1.519427294,0.046756668,9.045327215,2.304347826,0.308308638,5.843683084,10,2015
A,Corning Incorporated,GLW,Moody's Investors Service,2015-05-05,Basic Industries,4.405335628,3.256884682,2.284423408,56.39372105,0.254451879,0.245393721,0.417086979,0.198764797,0.082227323,0.085943978,0.114555818,0.323154708,0.761005797,0.393160017,0.282207365,0.459731544,0.978551709,3.531034483,4.649808429,1.393160017,0.245393721,9.25386458,3.608429119,0.484714359,5.68004012,5,2015
BBB,Southern Company (The),SO,Moody's Investors Service,2016-09-13,Public Utilities,0.752651544,0.283966865,0.15289928,28.71054483,0.016988339,0.17490953,1.0,0.232659831,0.003081215,0.035957843,0.013652153,0.181372326,0.253626699,3.430769852,0.774305587,0.273275862,-0.493665713,-2.540483701,2.211356467,4.430769852,0.17490953,11.85337129,5.146161935,0.245979091,0.27962298,9,2016
A,Sherwin-Williams Company (The),SHW,Moody's Investors Service,2015-07-28,Consumer Services,1.241386104,0.657327116,0.096058611,35.86731381,0.092937715,0.136604504,0.49026166,0.136604504,0.181953623,0.424384027,1.214237651,1.957801775,10.88369093,5.673335945,0.850149909,0.31963654,0.838102943,13.15791486,3.184771096,6.673335945,0.136604504,14.47139839,15.69964045,0.127650074,4.993324758,7,2015
A,Illinois Tool Works Inc.,ITW,Standard & Poor's Ratings Services,2015-03-26,Technology,2.285876026,1.129351826,1.129351826,0.0,0.203396852,0.186343552,0.401201326,0.199392433,0.166647811,0.190809473,0.431711606,0.819323453,8.590747331,1.59056272,0.613983482,0.299740645,0.776608911,3.124222056,9.932785661,2.59056272,0.186343552,12.03571517,4.022902664,0.111571389,16.93945313,3,2015
A,Illinois Tool Works Inc.,ITW,Standard & Poor's Ratings Services,2016-03-25,Technology,2.837837838,1.304898649,1.304898649,0.0,0.141663558,0.202834763,0.41156285,0.21387542,0.120732405,0.203502732,0.363236419,0.852247441,8.500317058,2.008607498,0.667620319,0.301581464,0.87646803,5.477031802,8.399021473,3.008607498,0.202834763,11.20477063,6.248980701,0.17150317,17.56792873,3,2016
A,Magellan Midstream Partners L.P.,MMP,Egan-Jones Ratings Company,2015-03-23,Energy,0.751027222,0.313321707,0.031824752,13.38256596,0.337489794,0.364418378,1.0,0.422894159,0.14091768,0.168539869,0.416159548,0.417546493,0.53211949,1.953210333,0.661385446,0.005503151,0.66906469,3.259948957,0.367526181,2.953210333,0.364418378,18.11930857,4.872397254,0.48065718,6.121475121,3,2015
A,Magellan Midstream Partners L.P.,MMP,Egan-Jones Ratings Company,2015-11-11,Energy,0.475203065,0.192175545,0.040291864,13.99205055,0.367525371,0.374292708,1.0,0.440320171,0.1331297,0.153724832,0.397832358,0.362232679,0.454108531,1.988306584,0.665362314,0.002851834,0.419317897,1.971175566,0.233539881,2.988306584,0.374292708,15.94649435,4.70090969,0.488789113,4.29681826,11,2015
BBB,Magellan Midstream Partners L.P.,MMP,Standard & Poor's Ratings Services,2016-08-18,Energy,0.769001113,0.407033235,0.030521783,17.4917521,0.36178307,0.364000798,1.0,0.423981028,0.117819167,0.12761809,0.381376652,0.325662467,0.418028482,2.236966118,0.691068747,0.004008615,0.300693955,1.271820679,0.396448847,3.236966118,0.364000798,20.00354258,4.229618385,0.43712507,6.386417771,8,2016
A,"Nordstrom, Inc.",JWN,Standard & Poor's Ratings Services,2016-01-07,Consumer Services,1.865714286,1.084285714,0.295357143,59.69828224,0.05330964,0.087738783,0.348289649,0.05330964,0.077879935,0.18386346,0.295081967,1.460897783,4.043712575,2.788934426,0.736073553,0.392405063,0.294262295,1.889473684,4.352631579,3.788934426,0.087738783,15.30659722,6.421052632,0.090330224,6.628012048,1,2016
A,Hershey Company (The),HSY,Moody's Investors Service,2016-08-02,Consumer Non-Durables,0.951470141,0.46000221,0.15552546,28.52135788,0.096777753,0.147776109,0.424437389,0.162063665,0.130340441,0.304153377,0.916254377,1.346801686,3.417240939,6.02970137,0.857746446,0.345105554,0.725996085,11.7782745,4.898828769,7.02970137,0.147776109,5.585011077,16.22360607,0.132184284,8.195205689,8,2016
A,Hershey Company (The),HSY,Moody's Investors Service,2015-08-18,Consumer Non-Durables,0.833485729,0.426347844,0.156241095,29.60237123,0.069443207,0.122091873,0.457945888,0.140491613,0.095979677,0.288456365,0.513980503,1.382131967,3.296923846,4.35509726,0.813262028,0.431221704,0.72851466,14.59500165,5.716413725,5.35509726,0.122091873,5.497610251,20.0339162,0.164412819,8.442416281,8,2015
A,"Applied Materials, Inc.",AMAT,Moody's Investors Service,2015-09-21,Technology,2.438388626,1.765139547,1.263033175,65.71435966,0.142561342,0.165441557,0.409152086,0.175276944,0.089952966,0.138835795,0.180874819,0.630977267,10.82847534,1.01077105,0.502678338,0.138297872,0.815133276,0.780889621,4.089785832,2.01077105,0.165441557,10.68717054,0.957990115,0.120405839,3.113475177,9,2015
BBB,Pioneer Natural Resources Company,PXD,Moody's Investors Service,2015-11-30,Energy,2.184678523,1.68878249,0.951436389,29.04870466,-0.056580311,-0.087253886,1.0,-0.087253886,-0.018015046,-0.030747882,-0.032624283,0.318397783,3.168089297,0.810946463,0.44780256,0.368171021,1.0,8.375838926,13.99328859,1.810946463,-0.087253886,19.3400653,8.375838926,0.25865285,0.0,11,2015
BBB,Teva Pharmaceutical Industries Limited,TEVA,Standard & Poor's Ratings Services,2016-07-13,Health Care,0.931847685,0.460352661,0.053440069,125.3661599,0.015020773,0.038807469,0.532027576,0.063233347,0.003535468,0.029234669,0.009868914,0.235371869,2.7131178,1.74172841,0.623961658,0.612941176,0.768380463,3.29307228,1.088509673,2.791402946,0.099529745,17.857594,4.285731405,0.177601242,4.751970329,7,2016
BBB,Teva Pharmaceutical Industries Limited,TEVA,Standard & Poor's Ratings Services,2016-03-23,Health Care,1.414686659,0.945482507,0.534102268,99.36647669,0.080806025,0.113067372,0.577854671,0.162120904,0.029281065,0.078150771,0.053344083,0.362362399,3.003056235,0.81648695,0.448177309,0.285328533,0.860700108,5.599433515,8.153808217,1.821794484,0.163952778,12.22297653,6.505673069,0.28200692,4.325338895,3,2016
AA,Texas Instruments Incorporated,TXN,Egan-Jones Ratings Company,2015-01-28,Technology,2.918106687,1.798271976,0.450413223,34.86316596,0.216251437,0.29697202,0.569336911,0.302568034,0.159180679,0.257237716,0.271511068,0.736090735,4.593309859,0.705678537,0.413723056,0.271812081,0.901079137,3.292957746,3.324882629,1.705678537,0.29697202,11.66066255,3.654460094,0.298351859,12.85583524,1,2015
AA,Texas Instruments Incorporated,TXN,Egan-Jones Ratings Company,2015-10-28,Technology,2.768688845,1.715459883,0.391389432,32.70961538,0.229692308,0.324307692,0.581538462,0.328769231,0.183980283,0.308299817,0.300221194,0.800985829,5.00770416,0.631811784,0.387184227,0.291745731,0.870899719,3.608737864,3.124271845,1.631811784,0.324307692,10.65986684,4.14368932,0.328307692,14.09326425,10,2015
BBB,Crown Castle International Corporation,CCI,Fitch Ratings,2016-01-11,Consumer Services,1.147159881,0.57531428,0.209044284,31.21116006,0.415134786,0.129325401,0.902409514,0.258247401,0.069022286,0.022370605,0.214549948,0.166264761,0.382445637,2.108415579,0.678292695,-0.10859825,0.493378297,2.658041093,0.536963742,3.108415579,0.129325401,20.19090045,5.387430106,0.489655556,2.239925076,1,2016
BBB,Crown Castle International Corporation,CCI,Egan-Jones Ratings Company,2015-04-30,Consumer Services,1.036228426,0.561607903,0.195364515,32.56703598,0.105833408,0.105188673,0.890023643,0.269270253,0.018469844,0.019172469,0.058144717,0.174518083,0.403340464,2.148089291,0.682347002,-0.027413213,0.531803041,2.666408869,0.528495164,3.148089291,0.105188673,19.39775013,5.013903016,0.45153994,2.420345696,4,2015
